GameID,League Index,League Name,Age,Hours Per Week,Total Hours,APM,SelectByHotkeys,Hotkeys Used Per Minute,AssignToHotkeys,Hotkeys Assigned Per Minute,Unique Hotkeys,MinimapAttacks,Minimap Attacks Per Minute,MinimapRightClicks,Minimap Right Clicks Per Minute,NumberOfPACs,PACs Per Minute,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,Workers Made Per Minute,Unique Units Made,ComplexUnitsMade,Complex Units Made Per Minute,ComplexAbilitiesUsed,Complex Abilities Used Per Minute,Column2
61,1,Bronze,21,8,240,46.9962,0.000820114,4.35480534,0.000168517,0.89482527,6,0,0,4.49E-05,0.238419,0.001988496,10.55891376,94.0227,90.5311,4.1017,15,0.00057296,3.0424176,5,0,0,0,0,0
171,1,Bronze,18,6,230,69.5076,0.00017507,0.9296217,0.000204248,1.08455688,4,5.84E-05,0.310104,0.000204248,1.08455688,0.001458917,7.74684927,45.0612,112.96,9.14,11,0.00058357,3.0987567,4,0,0,0,0,0
363,1,Bronze,33,4,120,68.6598,0.000302046,1.60386426,0.000322876,1.71447156,0,0,0,6.25E-05,0.331875,0.002395534,12.72028554,48.6812,87.513,5.413,23,0.0005416,2.875896,6,0,0,0.00020831,1.1061261,5873.529591
532,1,Bronze,22,20,315,54.0792,0.001257583,6.67776573,0.000295902,1.57123962,3,3.70E-05,0.19647,0.00048084,2.5532604,0.002182276,11.58788556,37.1724,111.661,3.9492,14,0.0013316,7.070796,5,0,0,0,0,0
590,1,Bronze,19,16,730,60.4956,0.000830803,4.41156393,8.21E-05,0.435951,2,0,0,0.00061541,3.2678271,0.002194962,11.65524822,103.9624,93.3271,5.2103,36,0.0012924,6.862644,7,0.000317962,1.68837822,0.00046156,2.4508836,13014.19192
600,1,Bronze,17,12,300,89.031,0.000710109,3.77067879,0.000153161,0.81328491,1,0,0,0.000139237,0.73934847,0.003104985,16.48747035,53.5856,63.426,5.1435,26,0.0014341,7.615071,5,0,0,0,0,0
699,1,Bronze,21,10,150,86.2812,0.001027689,5.45702859,0.000177188,0.94086828,4,2.36E-05,0.125316,0.000189,1.00359,0.002929503,15.55566093,60.1296,76.3871,5.1573,23,0.001134,6.02154,6,0,0,0,0,0
731,1,Bronze,35,12,250,33.6204,0.001030234,5.47054254,0.000126151,0.66986181,1,0,0,1.05E-05,0.055755,0.002218157,11.77841367,91.581,124.3602,2.4218,15,0.00065178,3.4609518,7,0,0,0,0,0
766,1,Bronze,22,10,30,43.779,0.000294079,1.56155949,0.000130702,0.69402762,3,0,0,0.000261404,1.38805524,0.002842766,15.09508746,35.2093,86.6667,2.8966,7,0.00071886,3.8171466,3,0,0,0,0,0
771,1,Bronze,20,4,250,44.0304,0.001070146,5.68247526,0.000327948,1.74140388,4,0,0,0.000241646,1.28314026,0.002485501,13.19801031,52.6993,113.1944,2.9722,11,0.00027617,1.4664627,4,0,0,0,0,0
779,1,Bronze,28,6,100,68.214,0.00121146,6.4328526,0.000346131,1.83795561,1,0,0,0.00038607,2.0500317,0.002289792,12.15879552,57.0526,84.0698,5.4767,17,0.00099846,5.3018226,6,0,0,0,0,0
1013,1,Bronze,28,8,176,69.1182,0.004277192,22.71188952,0.000187596,0.99613476,0,2.81E-05,0.149211,6.57E-05,0.348867,0.002185495,11.60497845,68.931,96.1545,4.1588,23,0.00066597,3.5363007,7,8.44E-05,0.448164,6.57E-05,0.348867,1852.48377
1016,1,Bronze,24,16,60,25.6062,0.000211822,1.12477482,0.000121041,0.64272771,1,0,0,3.03E-05,0.160893,0.001482752,7.87341312,74.8219,143.2381,3.3061,16,0.00039338,2.0888478,7,0,0,0,0,0
1074,1,Bronze,22,16,400,38.3274,0,0,0,0,0,2.13E-05,0.113103,8.52E-05,0.452412,0.002578418,13.69139958,76.0667,88.6281,2.843,16,0.00061797,3.2814207,3,0,0,0,0,0
1128,1,Bronze,18,14,100,50.1,0.002076545,11.02645395,0.000175708,0.93300948,0,0,0,4.79E-05,0.254349,0.00238004,12.6380124,59.6486,114.0671,3.1678,13,0.00099035,5.2587585,6,0,0,0,0,0
